Date,Open,High,Low,Close,Volume
2023-10-16,250.0500,255.3999,248.4800,253.9200,88917176
2023-10-13,258.9000,259.6000,250.2200,251.1200,102296786
2023-10-12,262.9200,265.4100,256.6307,258.8700,111508114
2023-10-11,266.2000,268.6000,260.9000,262.9900,103706266
2023-10-10,257.7500,268.9400,257.6500,263.6200,122656030
2023-10-09,255.3100,261.3600,252.0500,259.6700,101377947
2023-10-06,253.9800,261.6500,250.6500,260.5300,118121812
2023-10-05,260.0000,263.6000,256.2500,260.0500,119159214
2023-10-04,248.1400,261.8600,247.6000,261.1600,129721567
2023-10-03,248.6100,250.0200,244.4500,246.5300,101985305
2023-10-02,244.8100,254.2799,242.6200,251.6000,123810402
2023-09-29,250.0000,254.7700,246.3500,250.2200,128522729
2023-09-28,240.0200,247.5500,238.6500,246.3800,117058870
2023-09-27,244.2620,245.3300,234.5800,240.5000,136597184
2023-09-26,242.9800,249.5500,241.6601,244.1200,101993631
2023-09-25,243.3800,247.1000,238.3100,246.9900,104636557
2023-09-22,257.4000,257.7888,244.4800,244.8800,127524083
2023-09-21,257.8500,260.8600,254.2100,255.7000,119951516
2023-09-20,267.0400,273.9300,262.4606,262.5900,122514643
2023-09-19,264.3500,267.8500,261.2000,266.5000,103704040
